Material,Material Description,Plant,Storage Location,Movement Type,Posting Date,Qty in Un. of Entry,Unit of Entry,Movement Type Text,Document Date,Qty in OPUn,Order Price Unit,Order Unit,Qty in order unit,Entry Date,Amount in LC,Purchase Order,Movement indicator,Base Unit of Measure,Quantity,Material Doc. Year,Debit/Credit ind,Trans./Event Type,Material Type,Vendor Code
31013433,"5/8""X8"" LENGTH MS BOLTS,NUT AND DOUBLE W",8110,HVAC,101,2020-06-22,60,KG,GR goods receipt,2020-06-22,60,KG,KG,60,2020-06-22,4320,4400042518.0,B,KG,60,2020,S,WE,ZCON,50908.0
31013442,"BOLTS,NUTS AND DOUBLE WASHERS SIZE: 5/8""",8110,HVAC,101,2020-11-24,30,KG,GR goods receipt,2020-11-20,30,KG,KG,30,2020-11-24,2250,4400046635.0,B,KG,30,2020,S,WE,ZCON,55630.0
31013442,"BOLTS,NUTS AND DOUBLE WASHERS SIZE: 5/8""",8110,HVAC,101,2020-06-22,20,KG,GR goods receipt,2020-06-22,20,KG,KG,20,2020-06-22,1440,4400042518.0,B,KG,20,2020,S,WE,ZCON,54941.0
31013446,"MS 'C' CLASS PIPE 10""",8110,HVAC,101,2020-06-29,54.9,M,GR goods receipt,2020-06-26,54.9,M,M,54.9,2020-06-29,91518,4400042429.0,B,M,54.9,2020,S,WE,ZCON,50048.0
31013452,"MS 'C' CLASS ELBOW SHORT BEND, SIZE:10""",8110,HVAC,101,2020-09-04,4,NO,GR goods receipt,2020-09-02,4,NO,NO,4,2020-09-04,6400,4400042520.0,B,NO,4,2020,S,WE,ZCON,56152.0
31013454,"BUTTER FLY VALVE 12"",MODEL: GEAR (WHEEL)",8110,HVAC,101,2020-07-09,4,NO,GR goods receipt,2020-07-07,4,NO,NO,4,2020-07-09,50331,4400042513.0,B,NO,4,2020,S,WE,ZCON,56152.0
31013456,"MS 'C' CLASS PIPE 8""",8110,HVAC,101,2020-09-10,18,M,GR goods receipt,2020-09-09,18,M,M,18,2020-09-10,26550,4400045287.0,B,M,18,2020,S,WE,ZCON,55685.0
31013500,"CARBOY BRUSH 34 (12/PKT)"" WW84550-08 COL",8110,PRCN,101,2021-02-22,2,PAC,GR goods receipt,2021-02-17,2,PAC,PAC,2,2021-02-22,45920,4400047726.0,B,PAC,2,2021,S,WE,ZCON,56152.0
31013500,"CARBOY BRUSH 34 (12/PKT)"" WW84550-08 COL",8110,PRCN,101,2021-02-22,2,PAC,GR goods receipt,2021-02-17,2,PAC,PAC,2,2021-02-22,45920,4400047726.0,B,PAC,2,2021,S,WE,ZCON,51471.0
31013500,"CARBOY BRUSH 34 (12/PKT)"" WW84550-08 COL",8110,PRCN,101,2020-09-08,2,PAC,GR goods receipt,2020-09-07,2,PAC,PAC,2,2020-09-08,45920,4400044251.0,B,PAC,2,2020,S,WE,ZCON,51471.0
31013500,"CARBOY BRUSH 34 (12/PKT)"" WW84550-08 COL",8110,PRCN,101,2020-08-21,2,PAC,GR goods receipt,2020-08-18,2,PAC,PAC,2,2020-08-21,45920,4400043082.0,B,PAC,2,2020,S,WE,ZCON,57545.0
31013500,"CARBOY BRUSH 34 (12/PKT)"" WW84550-08 COL",8110,PRCN,101,2020-05-19,2,PAC,GR goods receipt,2020-05-16,2,PAC,PAC,2,2020-05-19,43960,4400040278.0,B,PAC,2,2020,S,WE,ZCON,57545.0
31013500,"CARBOY BRUSH 34 (12/PKT)"" WW84550-08 COL",8110,PRCN,101,2020-05-19,4,PAC,GR goods receipt,2020-05-16,4,PAC,PAC,4,2020-05-19,87920,4400040278.0,B,PAC,4,2020,S,WE,ZCON,57545.0
31013501,"VACUUM PUMP MODEL: RTZGBZ CAP: 40 M3/HR,",8110,EQSP,101,2020-09-14,1,NO,GR goods receipt,2020-09-03,1,NO,NO,1,2020-09-14,58813,4400044705.0,B,NO,1,2020,S,WE,ZCON,57545.0
31013522,"VACUUM FILTER, MODEL: EZFA200-F02- SMC",8110,EQSP,101,2020-07-10,20,NO,GR goods receipt,2020-07-04,20,NO,NO,20,2020-07-10,22088,4400042687.0,B,NO,20,2020,S,WE,ZCON,50194.0
31013544,"NON RETURN VALVE 1"" BRASS",8110,UTL,101,2021-01-21,4,NO,GR goods receipt,2021-01-18,4,NO,NO,4,2021-01-21,5800,4400047592.0,B,NO,4,2021,S,WE,ZCON,50402.0
31013544,"NON RETURN VALVE 1"" BRASS",8110,UTL,101,2020-06-06,4,NO,GR goods receipt,2020-06-04,4,NO,NO,4,2020-06-06,5800,4400042250.0,B,NO,4,2020,S,WE,ZCON,50402.0
31013558,E-BIOME BIOMETRIC FINGER PRINT CUM SHOW,8110,INSP,101,2021-02-25,10,NO,GR goods receipt,2021-02-24,10,NO,NO,10,2021-02-25,130000,4400049015.0,B,NO,10,2021,S,WE,ZCON,50908.0
31013558,E-BIOME BIOMETRIC FINGER PRINT CUM SHOW,8110,INSP,101,2021-01-27,10,NO,GR goods receipt,2021-01-25,10,NO,NO,10,2021-01-27,130000,4400047841.0,B,NO,10,2021,S,WE,ZCON,54377.0
31013565,RTD SENSOR ORDER CODE:RT044D-A3-1-6-50-5,8110,INSP,101,2020-11-24,10,NO,GR goods receipt,2020-11-20,10,NO,NO,10,2020-11-24,47263,4400046333.0,B,NO,10,2020,S,WE,ZCON,52034.0
31013565,RTD SENSOR ORDER CODE:RT044D-A3-1-6-50-5,8110,INSP,101,2020-07-29,6,NO,GR goods receipt,2020-07-21,6,NO,NO,6,2020-07-29,26363,4400039687.0,B,NO,6,2020,S,WE,ZCON,50048.0
31013621,Teflon sheet 600mmx600mmx1mm Thick,8110,UTL,101,2020-11-05,2,NO,GR goods receipt,2020-10-23,2,NO,NO,2,2020-11-05,3600,4400046321.0,B,NO,2,2020,S,WE,ZCON,50715.0
31013655,MS HACKSAW BLADE,8110,BOIS,101,2020-09-23,50,NO,GR goods receipt,2020-09-22,50,NO,NO,50,2020-09-23,350,4400045511.0,B,NO,50,2020,S,WE,ZCON,50715.0
31013754,CCTV Camera with all Accessories,8110,QCCN,101,2021-01-30,4,NO,GR goods receipt,2021-01-25,4,NO,NO,4,2021-01-30,450,4400047855.0,B,NO,4,2021,S,WE,ZCON,50715.0
31013754,CCTV Camera with all Accessories,8110,INSP,101,2020-09-04,6,NO,GR goods receipt,2020-09-03,6,NO,NO,6,2020-09-04,38100,4400044689.0,B,NO,6,2020,S,WE,ZCON,50715.0
31013760,SINTEX TANK 5 KL DOUBLE LAYER,8110,BOIS,101,2021-03-25,1,NO,GR goods receipt,2021-03-19,1,NO,NO,1,2021-03-25,38481,4400049916.0,B,NO,1,2021,S,WE,ZCON,54421.0
31013765,WALL MOUNTING FAN; VICTOR-VWR01 BAJAJ,8110,ELSP,101,2020-09-14,5,NO,GR goods receipt,2020-09-12,5,NO,NO,5,2020-09-14,10200,4400044801.0,B,NO,5,2020,S,WE,ZCON,57359.0
31013798,"PLC CPU, MAKE: MISTSUBISHI, MELSEC IQ-F",8110,INSP,101,2021-03-13,1,NO,GR goods receipt,2021-03-10,1,NO,NO,1,2021-03-13,30500,4400048653.0,B,NO,1,2021,S,WE,ZCON,53593.0
31013798,"PLC CPU, MAKE: MISTSUBISHI, MELSEC IQ-F",8110,INSP,101,2020-10-06,1,NO,GR goods receipt,2020-10-05,1,NO,NO,1,2020-10-06,23015,4400045177.0,B,NO,1,2020,S,WE,ZCON,50935.0
31013804,"MS DUMMY FLANGES 12""",8110,HVAC,101,2020-09-04,2,NO,GR goods receipt,2020-09-02,2,NO,NO,2,2020-09-04,1800,4400042520.0,B,NO,2,2020,S,WE,ZCON,50935.0
31013806,"MS REDUCER 2'X1.5"" CLASS C",8320,RD01,101,2020-07-20,2,NO,GR goods receipt,2020-07-18,2,NO,NO,2,2020-07-20,60,4400043588.0,B,NO,2,2020,S,WE,ZCON,55316.0
31013853,"UNIVERSAL VIAL (PKG TO 100) A62251, BECK",8110,4017,101,2020-07-28,10,PAC,GR goods receipt,2020-07-13,10,PAC,PAC,10,2020-07-28,74083,4700003048.0,B,PAC,10,2020,S,WE,ZCON,55331.0
31013864,"PIPE WRENCH SIZE:18"" MOC: SS 304",8110,EQSP,101,2021-02-24,2,NO,GR goods receipt,2021-02-22,2,NO,NO,2,2021-02-24,979,4400048659.0,B,NO,2,2021,S,WE,ZCON,55331.0
31013865,ALUMINIUM LADDER SELF MOUNT SIZE:12 FEET,8110,INSP,101,2020-09-02,1,NO,GR goods receipt,2020-08-29,1,NO,NO,1,2020-09-02,14235,4400044679.0,B,NO,1,2020,S,WE,ZCON,57837.0
31013867,PLASTIC CAPS (METONE)510012,8110,PRCN,101,2020-12-14,6,NO,GR goods receipt,2020-12-01,6,NO,NO,6,2020-12-14,5700,4400045867.0,B,NO,6,2020,S,WE,ZCON,57837.0
31013869,"EU-4 PRE FILTER, SIZE:610X305X50,TYPE:FL",8110,UTL,101,2021-02-26,10,NO,GR goods receipt,2021-02-08,10,NO,NO,10,2021-02-26,6142,4400042689.0,B,NO,10,2021,S,WE,ZCON,55331.0
31013869,"EU-4 PRE FILTER, SIZE:610X305X50,TYPE:FL",8110,UTL,102,2021-02-23,-10,NO,GR for PO   reversal,2021-02-08,-10,NO,NO,-10,2021-02-23,-6142,4400042689.0,B,NO,-10,2021,H,WE,ZCON,56152.0
31013869,"EU-4 PRE FILTER, SIZE:610X305X50,TYPE:FL",8110,UTL,101,2021-02-12,10,NO,GR goods receipt,2021-02-08,10,NO,NO,10,2021-02-12,6142,4400042689.0,B,NO,10,2021,S,WE,ZCON,52192.0
31013879,"COMBINATION FILTER,EU-4+5,SIZE:305X610X3",8110,HVAC,101,2020-12-16,50,NO,GR goods receipt,2020-12-15,50,NO,NO,50,2020-12-16,123250,4400043813.0,B,NO,50,2020,S,WE,ZCON,50424.0
31013886,DISCHARGE VALVE,8110,BOIS,101,2020-05-04,4,NO,GR goods receipt,2020-05-02,4,NO,NO,4,2020-05-04,32220,4400039586.0,B,NO,4,2020,S,WE,ZCON,55316.0
31013889,"CONDUCTIVITY STANDARD-100 US,C.NO:011008",8110,PRCN,101,2020-08-28,2,PAC,GR goods receipt,2020-08-26,2,PAC,PAC,2,2020-08-28,13440,4400044322.0,B,PAC,2,2020,S,WE,ZCON,55832.0
31013889,"CONDUCTIVITY STANDARD-100 US,C.NO:011008",8110,PRCN,101,2020-08-20,3,PAC,GR goods receipt,2020-08-19,3,PAC,PAC,3,2020-08-20,20160,4400044322.0,B,PAC,3,2020,S,WE,ZCON,54814.0
31013936,"LEVEL SWITCH, MAKE: RIKO, MODEL NO:RFS-2",8110,INSP,101,2021-02-02,5,NO,GR goods receipt,2021-01-11,5,NO,NO,5,2021-02-02,6750,4400046943.0,B,NO,5,2021,S,WE,ZCON,54814.0
31013936,"LEVEL SWITCH, MAKE: RIKO, MODEL NO:RFS-2",8110,INSP,101,2020-12-14,15,NO,GR goods receipt,2020-12-14,15,NO,NO,15,2020-12-14,20250,4400046943.0,B,NO,15,2020,S,WE,ZCON,54814.0
31013937,"PHOTO SENSOR, MAKE: SICK, MODEL: WTB4-3P",8110,INSP,101,2020-11-11,5,NO,GR goods receipt,2020-11-06,5,NO,NO,5,2020-11-11,64239,4400045635.0,B,NO,5,2020,S,WE,ZCON,54814.0
31013937,"PHOTO SENSOR, MAKE: SICK, MODEL: WTB4-3P",8110,INSP,101,2020-10-10,5,NO,GR goods receipt,2020-10-08,5,NO,NO,5,2020-10-10,64239,4400044112.0,B,NO,5,2020,S,WE,ZCON,54814.0
31013938,"JOG COMMANDER, MAKE: SCHNEIDER ELECTRIC",8110,INSP,101,2020-11-26,2,NO,GR goods receipt,2020-11-23,2,NO,NO,2,2020-11-26,46200,4400044481.0,B,NO,2,2020,S,WE,ZCON,52640.0
31013939,"TOTEM RED LIGHT, MAKE: SCHNEIDER ELECTRI",8110,INSP,101,2020-09-21,2,NO,GR goods receipt,2020-09-07,2,NO,NO,2,2020-09-21,7704,4400044481.0,B,NO,2,2020,S,WE,ZCON,52640.0
31013940,"TOTEM ORANGE LIGHT, MAKE: SCHNEIDER ELEC",8110,INSP,101,2020-09-21,2,NO,GR goods receipt,2020-09-07,2,NO,NO,2,2020-09-21,7704,4400044481.0,B,NO,2,2020,S,WE,ZCON,52640.0
31013941,"TOTEM GREEN LIGHT, MAKE: SCHNEIDER ELECT",8110,INSP,101,2020-09-21,2,NO,GR goods receipt,2020-09-07,2,NO,NO,2,2020-09-21,7704,4400044481.0,B,NO,2,2020,S,WE,ZCON,52640.0
31013942,"TOTEM BLUE LIGHT, MAKE: SCHNEIDER ELECTR",8110,INSP,101,2020-09-21,2,NO,GR goods receipt,2020-09-07,2,NO,NO,2,2020-09-21,9940,4400044481.0,B,NO,2,2020,S,WE,ZCON,52640.0
31013943,"TOTEM SOUND ALARM, MAKE: SCHNEIDER ELECT",8110,INSP,101,2020-09-21,2,NO,GR goods receipt,2020-09-07,2,NO,NO,2,2020-09-21,10444,4400044481.0,B,NO,2,2020,S,WE,ZCON,52640.0
31013955,"MAKE: SICK , MODEL: WL150-P4301116F",8110,INSP,101,2020-10-10,5,NO,GR goods receipt,2020-10-08,5,NO,NO,5,2020-10-10,51984,4400044112.0,B,NO,5,2020,S,WE,ZCON,50194.0
31014001,BATTERY 12V 7H MAKE:EXIDE,8110,INSP,101,2020-06-24,4,NO,GR goods receipt,2020-06-24,4,NO,NO,4,2020-06-24,2800,4400039587.0,B,NO,4,2020,S,WE,ZCON,54814.0
31014092,"SC PIGTAILS SINGLE MODE,Make:Molex",8110,INSP,101,2021-01-30,12,NO,GR goods receipt,2021-01-29,12,NO,NO,12,2021-01-30,2153,4400047497.0,B,NO,12,2021,S,WE,ZCON,55685.0
31014111,FLOAT GUIDED LEVEL TRANSMITTER MAKE: RAD,8320,RD01,101,2021-03-20,2,NO,GR goods receipt,2021-03-15,2,NO,NO,2,2021-03-20,29450,4400048762.0,B,NO,2,2021,S,WE,ZCON,55685.0
31014116,"BRASS WEIGHT,5KG WITH CALIBRATION CERTIF",8110,PRCN,101,2021-03-09,1,NO,GR goods receipt,2021-03-03,1,NO,NO,1,2021-03-09,9720,4400048126.0,B,NO,1,2021,S,WE,ZCON,55685.0
31014127,"CONTROLLER, MAKE: ALC, MODEL:SE6166",8110,INSP,101,2020-12-02,3,NO,GR goods receipt,2020-11-26,3,NO,NO,3,2020-12-02,245769,4400044486.0,B,NO,3,2020,S,WE,ZCON,57308.0
31014128,"CONTROLLER,  MAKE: ALC, MODEL: SE6104A",8110,INSP,101,2020-12-02,2,NO,GR goods receipt,2020-11-26,2,NO,NO,2,2020-12-02,117068,4400044486.0,B,NO,2,2020,S,WE,ZCON,56607.0
31014129,"GATE WAY ROUTER, MAKE: ALC, MODEL: LGR-2",8110,INSP,101,2020-12-02,3,NO,GR goods receipt,2020-11-26,3,NO,NO,3,2020-12-02,173784,4400044486.0,B,NO,3,2020,S,WE,ZCON,56607.0
31014130,"CONTROLLER, MAKE: MITSUBISHI, MODEL: FX3",8110,INSP,101,2020-10-06,1,NO,GR goods receipt,2020-10-05,1,NO,NO,1,2020-10-06,29939,4400045177.0,B,NO,1,2020,S,WE,ZCON,58228.0
31014140,"BENDS 1.5"" SS 316L",8110,EQSP,101,2021-03-31,30,NO,GR goods receipt,2021-03-23,30,NO,NO,30,2021-03-31,5700,4400049430.0,B,NO,30,2021,S,WE,ZCON,58228.0
31014140,"BENDS 1.5"" SS 316L",8110,EQSP,102,2021-03-31,-30,NO,GR for PO   reversal,2021-03-23,-30,NO,NO,-30,2021-03-31,-5700,4400049430.0,B,NO,-30,2021,H,WE,ZCON,58228.0
31014140,"BENDS 1.5"" SS 316L",8110,EQSP,101,2021-03-29,30,NO,GR goods receipt,2021-03-23,30,NO,NO,30,2021-03-29,5700,4400049430.0,B,NO,30,2021,S,WE,ZCON,57833.0
31014140,"BENDS 1.5"" SS 316L",8110,UTL,101,2020-12-02,10,NO,GR goods receipt,2020-12-02,10,NO,NO,10,2020-12-02,3395,4400046157.0,B,NO,10,2020,S,WE,ZCON,57837.0
31014140,"BENDS 1.5"" SS 316L",8110,UTL,101,2020-05-27,15,NO,GR goods receipt,2020-05-25,15,NO,NO,15,2020-05-27,4074,4400040515.0,B,NO,15,2020,S,WE,ZCON,57168.0
31014184,DUAL CHANNEL TRANSMITTER; MODEL: 202580-,8110,INSP,101,2020-07-25,5,NO,GR goods receipt,2020-07-24,5,NO,NO,5,2020-07-25,486780,4400041412.0,B,NO,5,2020,S,WE,ZCON,50908.0
31014197,"COPPER PIPE HARD 7/8""",8110,EQSP,101,2020-05-25,10,FT,GR goods receipt,2020-05-21,10,FT,FT,10,2020-05-25,1300,4400040442.0,B,FT,10,2020,S,WE,ZCON,51570.0
31014207,"CPVC PIPE, 3/4""",8110,CCPJ,101,2020-08-26,20,NO,GR goods receipt,2020-08-12,20,NO,NO,20,2020-08-26,3626,4400044204.0,B,NO,20,2020,S,WE,ZCON,54720.0
31014219,"SCREW SPANNER  6""",8110,HVAC,101,2021-02-13,3,NO,GR goods receipt,2021-02-12,3,NO,NO,3,2021-02-13,427,4400048149.0,B,NO,3,2021,S,WE,ZCON,50920.0
31014219,"SCREW SPANNER  6""",8110,HVAC,101,2020-06-06,6,NO,GR goods receipt,2020-06-05,6,NO,NO,6,2020-06-06,854,4400042264.0,B,NO,6,2020,S,WE,ZCON,50424.0
31014225,"FIBER OPTIC SENSOR, MAKE: KEYENCE, MODEL",8110,INSP,101,2020-08-06,5,NO,GR goods receipt,2020-07-29,5,NO,NO,5,2020-08-06,83000,4400043449.0,B,NO,5,2020,S,WE,ZCON,52655.0
31014229,"PHOTO SENSOR, MAKE: SICK, MODEL:WT150-P4",8110,INSP,101,2020-10-10,5,NO,GR goods receipt,2020-10-08,5,NO,NO,5,2020-10-10,51984,4400044112.0,B,NO,5,2020,S,WE,ZCON,57264.0
31014244,"BRUSHLESS DC MOTOR, MAKE: ORIENTAL MOTOR",8110,INSP,101,2021-01-21,1,NO,GR goods receipt,2020-12-23,1,NO,NO,1,2021-01-21,80208,4700003205.0,B,NO,1,2021,S,WE,ZCON,53356.0
31014244,"BRUSHLESS DC MOTOR, MAKE: ORIENTAL MOTOR",8110,INSP,101,2021-01-21,2,NO,GR goods receipt,2020-12-23,2,NO,NO,2,2021-01-21,41077,4700003205.0,B,NO,2,2021,S,WE,ZCON,53356.0
31014282,"SAFETY RELAY, MAKE: PHOENIX CONTACT, SOC",8110,INSP,101,2020-09-10,50,NO,GR goods receipt,2020-09-05,50,NO,NO,50,2020-09-10,22000,4400044280.0,B,NO,50,2020,S,WE,ZCON,56926.0
31014292,"HAMMER DRILLING MACHINE, MODEL:-GBH2-20",8110,ELSP,101,2020-09-09,1,NO,GR goods receipt,2020-09-08,1,NO,NO,1,2020-09-09,4800,4400044790.0,B,NO,1,2020,S,WE,ZCON,54792.0
31014299,DN25 SCREW TYPE EPDM COMPLETE SS BONNET,8110,UTL,101,2021-02-25,5,NO,GR goods receipt,2021-02-23,5,NO,NO,5,2021-02-25,35375,4400049025.0,B,NO,5,2021,S,WE,ZCON,55785.0
31014311,PISTON VALVE IBR 15NB,8110,UTL,101,2020-06-26,2,NO,GR goods receipt,2020-06-24,2,NO,NO,2,2020-06-26,11400,4400041709.0,B,NO,2,2020,S,WE,ZCON,51009.0
31014314,CABLE ARMOURED COPPER 4X50 SQMM,8110,ELSP,101,2021-03-10,210,M,GR goods receipt,2021-03-08,210,M,M,210,2021-03-10,340200,4400049563.0,B,M,210,2021,S,WE,ZCON,55744.0
31014314,CABLE ARMOURED COPPER 4X50 SQMM,8110,ELSP,101,2020-08-20,185,M,GR goods receipt,2020-08-19,185,M,M,185,2020-08-20,240500,4400044436.0,B,M,185,2020,S,WE,ZCON,55685.0
31014314,CABLE ARMOURED COPPER 4X50 SQMM,8110,ELSP,101,2020-08-20,85,M,GR goods receipt,2020-08-19,85,M,M,85,2020-08-20,110500,4400044436.0,B,M,85,2020,S,WE,ZCON,55685.0
31014461,50X6MM COPPER FLAT,8110,ELSP,101,2020-10-12,400,M,GR goods receipt,2020-10-10,400,M,M,400,2020-10-12,562600,4400046063.0,B,M,400,2020,S,WE,ZCON,55685.0
31014475,"SELF SEALING COVERS 14"" X 10""",8110,QCCN,101,2021-02-23,100,PAC,GR goods receipt,2021-02-17,100,PAC,PAC,100,2021-02-23,7500,4400047273.0,B,PAC,100,2021,S,WE,ZCON,55685.0
31014475,"SELF SEALING COVERS 14"" X 10""",8110,QCCN,101,2020-05-28,10,PAC,GR goods receipt,2020-05-27,10,PAC,PAC,10,2020-05-28,2750,4400041962.0,B,PAC,10,2020,S,WE,ZCON,55685.0
31014494,MOC- PLATINUM CURE SILICONE FOUR PLY POL,8110,PRCN,101,2020-09-05,4,NO,GR goods receipt,2020-09-05,4,NO,NO,4,2020-09-05,133832,4400043881.0,B,NO,4,2020,S,WE,ZCON,55685.0
31014494,MOC- PLATINUM CURE SILICONE FOUR PLY POL,8110,PRCN,101,2020-08-17,6,NO,GR goods receipt,2020-08-17,6,NO,NO,6,2020-08-17,200748,4400043881.0,B,NO,6,2020,S,WE,ZCON,55685.0
31014494,MOC- PLATINUM CURE SILICONE FOUR PLY POL,8110,PRCN,101,2020-06-10,3,NO,GR goods receipt,2020-06-10,3,NO,NO,3,2020-06-10,100374,4400038584.0,B,NO,3,2020,S,WE,ZCON,50715.0
31014494,MOC- PLATINUM CURE SILICONE FOUR PLY POL,8110,PRCN,101,2020-06-10,6,NO,GR goods receipt,2020-06-10,6,NO,NO,6,2020-06-10,200748,4400038766.0,B,NO,6,2020,S,WE,ZCON,53659.0
31014494,MOC- PLATINUM CURE SILICONE FOUR PLY POL,8110,PRCN,101,2020-05-12,6,NO,GR goods receipt,2020-05-11,6,NO,NO,6,2020-05-12,200748,4400038766.0,B,NO,6,2020,S,WE,ZCON,53659.0
31014496,MOC- PLATINUMCURE SILICONE POLYESTER MES,8110,PRCN,101,2020-11-11,4,NO,GR goods receipt,2020-11-06,4,NO,NO,4,2020-11-11,91054,4400046336.0,B,NO,4,2020,S,WE,ZCON,53659.0
31014497,MOC- PLATINUMCURE SILICONE POLYESTER MES,8110,PRCN,101,2021-03-06,5,NO,GR goods receipt,2021-03-06,5,NO,NO,5,2021-03-06,95625,4400049186.0,B,NO,5,2021,S,WE,ZCON,56926.0
31014497,MOC- PLATINUMCURE SILICONE POLYESTER MES,8110,PRCN,101,2020-10-17,5,NO,GR goods receipt,2020-10-17,5,NO,NO,5,2020-10-17,95625,4400044104.0,B,NO,5,2020,S,WE,ZCON,56926.0
31014501,"MOC- EPDM GASKET ½ INCH, BASCO SCIENTIFI",8310,RD01,101,2020-05-12,"1,000",NO,GR goods receipt,2020-05-09,"1,000",NO,NO,"1,000",2020-05-12,136000,4400037691.0,B,NO,"1,000",2020,S,WE,ZCON,56926.0
31014501,"MOC- EPDM GASKET ½ INCH, BASCO SCIENTIFI",8310,RD01,101,2020-05-12,500,NO,GR goods receipt,2020-05-09,500,NO,NO,500,2020-05-12,68000,4400039473.0,B,NO,500,2020,S,WE,ZCON,56926.0
31014502,MOC- EPDM GASKET 1 INCH; BASCO SCIENTIFI,8310,RD01,101,2020-05-12,500,NO,GR goods receipt,2020-05-09,500,NO,NO,500,2020-05-12,80750,4400039473.0,B,NO,500,2020,S,WE,ZCON,56926.0
31014502,MOC- EPDM GASKET 1 INCH; BASCO SCIENTIFI,8310,RD01,101,2020-05-12,"1,000",NO,GR goods receipt,2020-05-09,"1,000",NO,NO,"1,000",2020-05-12,161500,4400037262.0,B,NO,"1,000",2020,S,WE,ZCON,56926.0
31014509,"ETHERNET INTERFACE MODULE, MODEL NO: FX3",8110,INSP,101,2020-10-06,3,NO,GR goods receipt,2020-10-05,3,NO,NO,3,2020-10-06,23961,4400045177.0,B,NO,3,2020,S,WE,ZCON,55316.0
31014548,PDA DETECTOR PERFORMANCE MAINTENANCE KIT,8110,INSP,101,2020-07-25,3,PAC,GR goods receipt,2020-07-22,3,PAC,PAC,3,2020-07-25,152862,4400042840.0,B,PAC,3,2020,S,WE,ZCON,56992.0
31014577,"DOOR MAGNET, DOOR MAGNETIC - 300 LB - 12",8110,INSP,101,2020-08-03,8,NO,GR goods receipt,2020-08-01,8,NO,NO,8,2020-08-03,12000,4400043491.0,B,NO,8,2020,S,WE,ZCON,53595.0
31014649,"AUTO CLAVE DOOR GASKET SQUARE TYPE, 900X",8110,EQSP,101,2020-07-25,4,NO,GR goods receipt,2020-07-21,4,NO,NO,4,2020-07-25,25080,4400042650.0,B,NO,4,2020,S,WE,ZCON,52674.0
31014649,"AUTO CLAVE DOOR GASKET SQUARE TYPE, 900X",8110,UTL,101,2020-07-02,3,NO,GR goods receipt,2020-06-19,3,NO,NO,3,2020-07-02,18810,4400041143.0,B,NO,3,2020,S,WE,ZCON,55451.0
31014781,"MS NUT AND BOLT WITH DOUBLE WASHER 1/2""",8110,HVAC,101,2021-03-06,20,NO,GR goods receipt,2021-03-05,20,NO,NO,20,2021-03-06,300,4400049002.0,B,NO,20,2021,S,WE,ZCON,52640.0
31014781,"MS NUT AND BOLT WITH DOUBLE WASHER 1/2""",8110,BOIS,101,2021-02-24,300,NO,GR goods receipt,2021-02-22,300,NO,NO,300,2021-02-24,4500,4400048659.0,B,NO,300,2021,S,WE,ZCON,54814.0
31014781,"MS NUT AND BOLT WITH DOUBLE WASHER 1/2""",8110,HVAC,101,2020-06-04,30,NO,GR goods receipt,2020-06-03,30,NO,NO,30,2020-06-04,300,4400042073.0,B,NO,30,2020,S,WE,ZCON,54814.0
31014939,"BRAZING TORCH SET, MAKE: KASHMIR",8320,RD01,101,2021-03-16,2,NO,GR goods receipt,2021-03-13,2,NO,NO,2,2021-03-16,2755,4400049568.0,B,NO,2,2021,S,WE,ZCON,54814.0
31014940,GAS CUTTER HOSE (LPG & OXYGEN),8110,EQSP,101,2020-06-20,5,M,GR goods receipt,2020-06-18,5,M,M,5,2020-06-20,1887,4400039656.0,B,M,5,2020,S,WE,ZCON,54814.0
31014943,"SEALING MACHINE (SEVANA), VOLTS: 240AC,",8330,RD01,101,2021-03-25,2,NO,GR goods receipt,2021-03-24,2,NO,NO,2,2021-03-25,7150,4400045509.0,B,NO,2,2021,S,WE,ZCON,50194.0
31014954,"THERMO HYGROMETER WITH HANDLE CABLE,MODE",8110,INSP,101,2021-01-28,1,NO,GR goods receipt,2021-01-21,1,NO,NO,1,2021-01-28,23940,4400046337.0,B,NO,1,2021,S,WE,ZCON,50194.0
31015019,PLATINUM CURED SILICONE HOSE WITH SPRING,8110,PRCN,101,2021-02-23,6,NO,GR goods receipt,2021-02-12,6,NO,NO,6,2021-02-23,122094,4400048685.0,B,NO,6,2021,S,WE,ZCON,55685.0
31015019,PLATINUM CURED SILICONE HOSE WITH SPRING,8110,PRCN,101,2020-11-07,8,NO,GR goods receipt,2020-10-22,8,NO,NO,8,2020-11-07,162792,4400045549.0,B,NO,8,2020,S,WE,ZCON,55685.0
31015020,PLATINUM CURED SILICONE HOSE WITH SPRING,8110,PRCN,101,2021-02-23,4,NO,GR goods receipt,2021-02-12,4,NO,NO,4,2021-02-23,70794,4400048685.0,B,NO,4,2021,S,WE,ZCON,55685.0
31015060,CONDUCTVITY PROBE; 013005MD- THERMO ORIO,8110,PRCN,101,2021-03-15,3,NO,GR goods receipt,2021-03-13,3,NO,NO,3,2021-03-15,109296,4400048712.0,B,NO,3,2021,S,WE,ZCON,51580.0
31015060,CONDUCTVITY PROBE; 013005MD- THERMO ORIO,8110,PRCN,101,2020-06-09,1,NO,GR goods receipt,2020-06-02,1,NO,NO,1,2020-06-09,32787,4400040043.0,B,NO,1,2020,S,WE,ZCON,54814.0
